Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
1,Keyliane Abdallah,FRA,['FW'],Marseille,18,2006,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2024-2025
2,Yunis Abdelhamid,MAR,['DF'],Saint-Étienne,36,1987,11.5,0,2,1,50.0,0.17,0.09,0.00,0.00,10.8,0,0,0,0.2,0.2,0.12,-0.2,-0.2,2024-2025
3,Himad Abdelli,ALG,"['MF', 'FW']",Angers,24,1999,31.6,6,35,8,22.9,1.11,0.25,0.09,0.38,22.6,0,3,4,6.4,3.2,0.09,-0.4,-0.2,2024-2025
4,Mohamed Abdelmoneim,EGY,['DF'],Nice,25,1999,9.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2024-2025
5,Ali Abdi,TUN,"['DF', 'MF']",Nice,30,1993,15.5,5,29,11,37.9,1.87,0.71,0.17,0.45,16.9,1,0,0,4.3,4.3,0.17,+0.7,+0.7,2024-2025
6,Matthis Abline,FRA,['FW'],Nantes,21,2003,30.8,9,73,26,35.6,2.37,0.85,0.11,0.31,15.0,0,1,1,8.5,7.7,0.11,+0.5,+0.3,2024-2025
7,Abner,BRA,['DF'],Lyon,24,2000,12.1,1,7,3,42.9,0.58,0.25,0.14,0.33,17.7,0,0,0,0.6,0.6,0.08,+0.4,+0.4,2024-2025
8,Zakaria Aboukhlal,MAR,"['MF', 'FW']",Toulouse,24,2000,21.1,7,62,26,41.9,2.94,1.23,0.10,0.23,14.6,0,1,2,10.2,8.6,0.14,-3.2,-2.6,2024-2025
9,Akor Adams,NGA,['FW'],Montpellier,24,2000,11.9,3,26,12,46.2,2.18,1.00,0.12,0.25,13.3,0,0,0,4.3,4.3,0.16,-1.3,-1.3,2024-2025
10,Martin Adeline,FRA,['MF'],Reims,20,2003,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2024-2025
11,Adryelson,BRA,['DF'],Lyon,26,1998,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2024-2025
12,Emmanuel Agbadou,CIV,['DF'],Reims,27,1997,14.0,0,15,3,20.0,1.07,0.21,0.00,0.00,28.8,1,0,0,0.5,0.5,0.04,-0.5,-0.5,2024-2025
13,Jeremy Agbonifo,SWE,"['FW', 'MF']",Lens,18,2005,3.3,1,6,4,66.7,1.80,1.20,0.17,0.25,14.1,0,0,0,0.7,0.7,0.11,+0.3,+0.3,2024-2025
14,Ruben Aguilar,FRA,"['DF', 'MF']",Lens,31,1993,12.5,1,11,3,27.3,0.88,0.24,0.09,0.33,16.0,0,0,0,0.8,0.8,0.07,+0.2,+0.2,2024-2025
15,Naouirou Ahamada,FRA,"['MF', 'FW']",Rennes,22,2002,0.6,0,1,0,0.0,1.55,0.00,0.00,,28.2,0,0,0,0.0,0.0,0.02,0.0,0.0,2024-2025
16,Jean-Eudes Aholou,CIV,['MF'],Angers,30,1994,21.8,2,27,7,25.9,1.24,0.32,0.07,0.29,18.2,0,0,0,1.8,1.8,0.07,+0.2,+0.2,2024-2025
17,Ayman Aiki,FRA,"['FW', 'MF']",Saint-Étienne,19,2005,1.4,0,3,1,33.3,2.13,0.71,0.00,0.00,23.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,2024-2025
18,Ludovic Ajorque,FRA,['FW'],Brest,30,1994,27.7,13,53,25,47.2,1.91,0.90,0.25,0.52,12.1,0,0,1,10.4,9.6,0.18,+2.6,+3.4,2024-2025
19,Ümit Akdag,ROU,['DF'],Toulouse,20,2003,5.6,0,2,0,0.0,0.36,0.00,0.00,,24.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,2024-2025
20,Sergio Akieme,ESP,['DF'],Reims,26,1997,28.0,2,26,7,26.9,0.93,0.25,0.08,0.29,20.1,1,0,0,1.5,1.5,0.06,+0.5,+0.5,2024-2025
21,Maghnes Akliouche,FRA,"['FW', 'MF']",Monaco,22,2002,26.7,5,61,17,27.9,2.28,0.64,0.07,0.24,16.0,2,1,1,9.2,8.4,0.14,-4.2,-4.4,2024-2025
